,file_contents
502,"prof sen distributed the answer sheets in class two days later.
"
503,"“five? i got a five out of twenty,” i said to alok, who sat next to me in class.
"
504,"“t got seven. damn it, seven,” alok said.
"
505,"“t have three. how about that? one, two, three,” ryan said, counting on his fingers.
"
506,"prof sen wrote the customary summary scores on the blackboard.
"
507,"average: 11/20
"
508,"high: 17/20
"
509,"low: 3/20
"
510,"he kept those written for a few minutes, before proceeding with his lecture on cantilever
"
511,"beams.
"
512,"“t have the lowest. did you see that?” ryan whispered to me, unmoved by cantilever
"
513,"beams. it was hard to figure out what he was feeling at this point. even though he was trying
"
514,"to stay calm and expressionless, i could tell he was having trouble digesting his result. he
"
515,"re-read his quiz, it did not change the score.
"
516,"alok was in a different orbit. his face looked like it had on ragging day. he viewed the
"
517,"answer sheet like he had the coke bottle, an expression of anxiety mixed with sadness. it’s in
"
518,"these moments that alok is most vulnerable, you nudge him just a little bit and you know
"
519,"he’d cry. but for now, the quiz results were a repulsive enough sight.
"
520,"i saw my own answer sheet. the instructor had written my score in big but careless
"
521,"letters, like graffiti written with contempt. now i am no einstein or anything, but this never
"
522,"happened to me in school. my score was five on twenty, or twenty-five per cent; i had never
"
523,"in my life scored less than three times as much. ouch, the first quiz in iit hurt.
"
524,"but take ryan’s scores. i wondered if it had been worth it for him to even study last night.
"
525,"i was two points ahead of him, or wait a minute, sixty-six per cent ahead of him, that made
"
526,"me feel better. thank god for relative misery!
"
527,"alok had the highest percentage amongst the three of us, but i could tell he did not find
"
528,"solace in our misery. he saw his score, and he saw the average on the board. i saw his face,
"
529,"twisting every time he saw his wrong answers.
"
530,"we kept our answer sheets, the proof of our underperformance, in our bags and strolled
"
531,"back to kumaon. we met at dinner in the mess. the food was insipid as usual, and alok
"
532,"wrinkled his pug nose as he dispiritedly plopped a thick blob of green substance mess-
"
533,"workers called bhindi masala into his plate. he slammed two rotis on his stainless steel
"
534,"plate and ignored the rest of the semi-solid substances like dal, raita and pulao. ryan and i
"
535,"took everything; though everything tasted the same, we could at least have some variety of
"
536,"colors on our plate.
"
537,"alok finally brought up the topic of the quiz at the dinner table.
"
538,"“so, now you don’t have anything to say?”
"
539,"ryan and i looked at each other.
"
540,"“say what?” i said.
"
541,"“that how crap this is,” alok said.
"
542,"“the food?” i said, fully aware alok meant otherwise.
"
543,"“no damn it! not the damn food,” alok said, “the apmech quiz.” his expression
"
544,"changed from the usual tragic one to a livelier angry one. i found that expression marginally
"
545,"more pleasant to look at and easier to deal with.
"
546,"“what about the quiz? we’re screwed. what is to discuss in that?” ryan simplified.
"
547,"“oh really. we are screwed, no damn doubt in that,” alok said.
"
548,"i think alok picks up a word and uses it too much, which ruins the effect. there were too
"
549,"many ‘damns’ in his dialogue.
"
550,"“then drop it. anyway, you got the highest amongst us. so, be happy.”
"
551,"“happy? yes, iam happy. the average is eleven, and someone got seventeen. and here i
"
552,"am, at damn seven. yes, iam happy my damn terminator ass,” alok scoffed.
"
553,"i told you, alok ruins the effect. i wanted to tell him that he should stop ‘damn’ right now
"
554,"but something told me he would not appreciate the subtleties of cursing right now.
"
555,"“what? what did you just say?” ryan said, keeping his spoon down on the plate, “did
"
556,"you say /erminator?”
"
557,"“yes. it was a stupid idea. your stupid damn idea,” alok said.
"
558,"ryan froze. he looked at alok as if he was speaking in foreign tongue. then he turned
"
559,"toward me. “you heard what he said? hari, you heard? this is unbelievable man.”
"
560,"i had heard alok, nothing being the matter with my eardrums but i wasn’t paying attention
"
561,"to anything apart from keeping count of the ‘damns’.
"
562,"“hari, you think i screwed up the quiz?” ryan asked slowly.
"
563,"i looked at alok’s and ryan’s faces in quick succession. “ryan, you got three. you still
"
564,"need me to tell you that you screwed up?” i counter-questioned, mediating on something i
"
565,"did not understand yet.
"
566,"“no. i mean alok is saying i screwed up the quiz for both of you because i took you to the
"
567,"movie. you think so or... ?”
"
568,"“that is not what i said...” alok interrupted even as ryan raised his hand to indicate
"
569,"silence.
"
570,"i understood ryan’s question now, but i did not know how to answer it, without taking
"
571,"sides.
"
572,"“but how does that... .”
"
573,"“no, hari tell me. is that what you expect your best friends to say?” ryan asked.
"
574,"“tt is not important. and besides, you did not drag us forcibly to see that crap movie,” i
"
575,"said, reminding myself to never see sci-fi again.
"
576,"ryan was satisfied with the answer. he relaxed his raised hand and smiled, “see, there
"
577,"you go.”
"
578,"“but alok is right too. we should have a limit on the fun factor. you can’t screw with the
"
579,"system too much, it comes back to screw you — the quiz is an example.”
"
580,"“thank you sir,” alok said, “that is exactly what i am saying.”
"
581,"cool, i had managed to come out clean in this one. sometimes, if you just paraphrase
"
582,"everyone’s arguments, you get to be the good guy.
"
583,"barefoot on metal
"
584,"the quiz mishap reinvigorated our commitment to studies for a while.
"
585,"ryan was quieter when we studied in the rooms, controlling his urge to discuss emergency
"
586,"topics ranging from movies to food to new sci-fi movies, leading to more productive study
"
587,"sessions. though our scores moved closer to class average, assignments can get dull as hell
"
588,"after a while, and you need a break. ryan often dozed off between assignments, or stared
"
589,"unseeingly at the wall, whispering curses frequently every time he opened a new book.
"
590,"“okay then,” he sighed one day, stapling his assignment. “i have finished today’s crap.
"
591,"you guys going to mug more or what?”
"
592,"“why are you always calling this crap?” alok asked, perplexed.
"
593,"“take a wild guess,” ryan said, tossing his assignment on the table like a used tissue.
"
594,"“but why?” alok said, “i mean, surely you studied a lot to get into iit right?”
"
595,"“yes, but frankly, this place has let me down. this isn’t exactly the cutting edge of
"
